app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
com.cryptowallet.si,Squareup,Payment,False,False,False,False
com.cryptowallet.si,Bumptech,Utility,False,False,False,False
co.ethv2,Squareup,Payment,False,False,False,False
com.lightning.walletapp,Github,Utility,False,False,False,False
net.ethylyte.com,Fasterxml,Utility,False,False,False,False
net.ethylyte.com,Kenai,Development aid,False,False,False,False
net.ethylyte.com,Squareup,Payment,False,False,False,False
com.ankerpay.wallet,Fasterxml,Utility,False,False,False,False
com.ankerpay.wallet,Github,Utility,False,False,False,False
com.ankerpay.wallet,Squareup,Payment,False,False,False,False
com.coinspace.app,Crashlytics,Utilities,False,False,False,False
com.coinspace.app,Jakewharton,Ui component,False,False,False,False
com.coinspace.app,Squareup,Payment,False,False,False,False
com.coinspace.app,Phonegap,Utility,False,False,False,False
gbbit.app.wallet,Squareup,Payment,False,False,False,False
com.paytomat,Crashlytics,Utilities,False,False,False,False
com.paytomat,Appsflyer,Targeted ads,True,False,False,True
com.paytomat,Bumptech,Utility,False,False,False,False
